37398906000116,Comércio varejista de outros artigos de uso doméstico não especificados anteriormente,GO,GOIANIA
11114284011955,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,RJ,NITEROI
08318530000194,Comércio varejista de materiais de construção em geral (Não dispensada *),MA,IMPERATRIZ
33082935000113,Comércio varejista especializado de equipamentos e suprimentos de informática,MT,CUIABA
82956160004594,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",SC,RIO DO SUL
21067129000197,Comércio varejista de artigos de papelaria,MG,MONTES CLAROS
09461141000186,Serviços de manutenção e reparação mecânica de veículos automotores (Não dispensada *),SP,SAO PAULO
35123447000485,Comércio varejista de combustíveis para veículos automotores,MA,ITAPECURU MIRIM
17160904001663,Comércio a varejo de pneumáticos e câmaras-de-ar,BA,FEIRA DE SANTANA
11790382000110,Comércio por atacado de peças e acessórios novos para veículos automotores,RS,SAO LEOPOLDO
04214987000440,Comércio a varejo de pneumáticos e câmaras-de-ar,RR,BOA VISTA
04744398000121,Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores,RJ,RIO DE JANEIRO
64505431000192,Comércio varejista de combustíveis para veículos automotores,SP,ALTINOPOLIS
07288500000110,Comércio varejista de combustíveis para veículos automotores,SP,PIRASSUNUNGA
02650080000156,Comércio varejista de artigos de papelaria,RS,SANTA CRUZ DO SUL
14959222000140,"Lanchonetes, casas de chá, de sucos e similares",RS,UNISTALDA
11616785000148,Comércio varejista de combustíveis para veículos automotores,PE,MANARI
04808626000180,Comércio varejista de combustíveis para veículos automotores,GO,MONTES CLAROS DE GOIAS
30006027000152,"Comércio a varejo de automóveis, camionetas e utilitários novos",RJ,RIO DE JANEIRO
07312904000100,Comércio varejista de material elétrico,PR,FRANCISCO BELTRAO
03579909000134,Comércio varejista de combustíveis para veículos automotores,RS,LAGOA VERMELHA
02306969000110,Comércio a varejo de peças e acessórios novos para veículos automotores,RJ,MAGE
41254921000168,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",PE,PETROLANDIA
07218314000104,Comércio varejista de combustíveis para veículos automotores (Não dispensada *),PA,NOVO PROGRESSO
03615815000173,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,MG,LAVRAS
06017546000131,Comércio a varejo de peças e acessórios novos para veículos automotores (Não dispensada *),SP,LINS
20095843000126,Comércio varejista de outros produtos não especificados anteriormente,AL,MACEIO
09028165000146,Comércio varejista especializado de equipamentos e suprimentos de informática (Não dispensada *),SC,CRICIUMA
19009484000168,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",AL,PALMEIRA DOS INDIOS
73998890000146,Comércio varejista de combustíveis para veículos automotores,BA,IPIAU
43235522000185,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,SP,SAO PAULO
01303335000141,Comércio varejista de materiais de construção em geral,CE,JAGUARIBE
51699932000105,Comércio varejista de artigos de papelaria,SP,SAO PAULO
00854639000134,Comércio varejista de combustíveis para veículos automotores,RJ,RESENDE
12270435000488,Comércio varejista de tintas e materiais para pintura,AL,MACEIO
04995526000703,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",RN,MOSSORO
15108924000183,"Comércio a varejo de automóveis, camionetas e utilitários novos",RS,PORTO ALEGRE
94644671000562,Comércio varejista de combustíveis para veículos automotores,RS,CACAPAVA DO SUL
79430682006406,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",PR,CURITIBA
04575823000104,Comércio varejista de combustíveis para veículos automotores,SC,JOINVILLE
07343858000793,Comércio a varejo de peças e acessórios novos para veículos automotores,CE,MARACANAU
02536721000146,Comércio varejista de materiais de construção não especificados anteriormente,RJ,NITEROI
14473285000192,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,RO,PORTO VELHO
06319773000111,Comércio varejista de materiais de construção em geral (Não dispensada *),MA,ESTREITO
10536119000137,Serviços de manutenção e reparação mecânica de veículos automotores,AM,TABATINGA
22549688000104,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,MG,RIO POMBA
01292393000117,Comércio varejista de artigos de papelaria,RJ,NOVA IGUACU
13560566000110,"Lanchonetes, casas de chá, de sucos e similares",SP,SAO JOSE DOS CAMPOS
04448738000177,Comércio a varejo de peças e acessórios novos para veículos automotores,SP,BARRETOS
07651003000134,Impressão de material para uso publicitário,CE,FORTALEZA
08844668000127,Comércio varejista de combustíveis para veículos automotores (Não dispensada *),PA,JACAREACANGA
19292697000140,Serviços de manutenção e reparação mecânica de veículos automotores,MG,BELO HORIZONTE
09097655000102,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,RJ,CABO FRIO
00788240000526,Sem descrição,MT,JANGADA
01360902000100,Comércio a varejo de peças e acessórios novos para veículos automotores,PR,TELEMACO BORBA
23407083000133,Comercio varejista de artigos de armarinho,MG,CONTAGEM
22416314000102,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,RJ,CABO FRIO
04333999000141,Comércio varejista de materiais de construção não especificados anteriormente,RJ,RIO DE JANEIRO
72036965000145,Comércio a varejo de peças e acessórios novos para veículos automotores,RS,PORTO ALEGRE
67592949000107,Comércio varejista de materiais de construção não especificados anteriormente,SP,SAO JOSE DOS CAMPOS
07751593000681,Sem descrição,MT,CUIABA
23070087000179,Comércio varejista especializado de equipamentos e suprimentos de informática,PA,MARABA
20521530000192,Comércio a varejo de peças e acessórios novos para veículos automotores,MG,BELO HORIZONTE
12503466000199,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,MS,CAMPO GRANDE
09303067000170,Comércio varejista de combustíveis para veículos automotores,MS,ITAPORA
00247861000179,Comércio varejista de combustíveis para veículos automotores,MG,BELO HORIZONTE
08954100000169,Comércio a varejo de peças e acessórios novos para veículos automotores (Não dispensada *),RJ,RIO DE JANEIRO
13256528000178,Sem descrição,"",""
07809930000130,Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho,SP,SAO PAULO
20873129000111,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",ES,VILA VELHA
00727349000120,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",PA,ALTAMIRA
03946131000154,Comércio a varejo de peças e acessórios novos para veículos automotores,MT,RONDONOPOLIS
83440818000152,Serviços de manutenção e reparação mecânica de veículos automotores,SC,BLUMENAU
19270235000121,Comércio varejista de combustíveis para veículos automotores,TO,PARANA
04760985000104,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",RR,PACARAIMA
82938044000121,Comércio varejista de ferragens e ferramentas,SC,LUZERNA
00084989000169,Comércio a varejo de peças e acessórios novos para veículos automotores,TO,GURUPI
12840788000123,Comércio varejista especializado de equipamentos e suprimentos de informática,SC,FLORIANOPOLIS
12586146000140,Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente,RO,VILHENA
08345087000140,Restaurantes e similares,AL,RIO LARGO
08476291000109,Comércio varejista especializado de equipamentos e suprimentos de informática (Não dispensada *),RS,PORTO ALEGRE
17316330000193,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,GO,INHUMAS
01744290000221,Comércio varejista de combustíveis para veículos automotores,MG,UBERABA
01390653000197,Comércio varejista de bebidas,SC,TUBARAO
15682971000136,********,"",""
79464459000104,Comércio atacadista de produtos odontológicos,PR,CURITIBA
02890541000168,Comércio varejista de outros produtos não especificados anteriormente,PA,BELEM
11194236000122,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,SP,SAO CARLOS
13807566000171,Sem descrição,BA,SANTO AMARO
02514580000160,Comércio varejista de outros produtos não especificados anteriormente,GO,GOIANIA
02970062000151,Comércio varejista de material elétrico,PA,TUCURUI
98586738000349,Comércio varejista de combustíveis para veículos automotores,RS,TAQUARI
22017793000194,Comércio varejista de bebidas,SP,SAO PAULO
10820488000157,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",PE,RECIFE
08219844000482,Comércio varejista de combustíveis para veículos automotores,AM,MANAUS
04305757000144,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",MT,MIRASSOL DOESTE
23345089000123,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,RJ,RIO DE JANEIRO
00475856000113,Sem descrição,PR,MARINGA
07687711000125,Comércio varejista de vidros (Não dispensada *),RS,URUGUAIANA
40883027000194,Comércio varejista de materiais de construção não especificados anteriormente,PE,ARCOVERDE
06896627000159,Comércio varejista de combustíveis para veículos automotores,AM,MANICORE
44750057000183,Restaurantes e similares,SP,LEME
37466455000107,Comércio varejista de tintas e materiais para pintura,MT,COMODORO
01749727000139,Comércio varejista de combustíveis para veículos automotores,TO,PALMAS
13860448000127,Sem descrição,"",""
03449866000172,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",RJ,NOVA IGUACU
15301994000153,"Comércio varejista de artigos de tapeçaria, cortinas e persianas",SP,OSASCO
05091786000113,Comércio varejista especializado de equipamentos e suprimentos de informática (Não dispensada *),PR,CURITIBA
09515777000163,Comércio a varejo de peças e acessórios novos para veículos automotores (Não dispensada *),MG,CONCEICAO DO MATO DENTRO
04115641000142,Comércio varejista de outros produtos não especificados anteriormente,PE,OLINDA
04475774000120,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",PR,CURITIBA
07041040000120,Comércio varejista especializado de equipamentos e suprimentos de informática (Não dispensada *),MT,SINOP
41550112002309,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana (Não dispensada *)",PE,RECIFE
12148067000157,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",RJ,DUQUE DE CAXIAS
07257364000109,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas (Não dispensada *)",TO,COLINAS DO TOCANTINS
08219858000153,Sem descrição,"",""
02107579000111,Comércio varejista de gás liqüefeito de petróleo (GLP),MA,IMPERATRIZ
10522343000170,Comércio varejista de materiais de construção em geral,RS,PORTO ALEGRE
00447821003510,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",DF,BRASILIA
18391966000162,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",SP,APIAI
26124904000112,Lavanderias,SP,SAO PAULO
02496976000122,Comércio varejista de combustíveis para veículos automotores,BA,LAURO DE FREITAS
10625138000130,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",RS,CACHOEIRINHA
04833594000172,Comércio varejista de combustíveis para veículos automotores,PE,TABIRA
13807596000188,Comércio varejista de combustíveis para veículos automotores,TO,COLINAS DO TOCANTINS
05206077000136,Comércio varejista de outros produtos não especificados anteriormente (Não dispensada *),SP,TABOAO DA SERRA
23147255000187,Comércio a varejo de peças e acessórios novos para veículos automotores (Não dispensada *),RS,PORTO ALEGRE
04899316025021,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",PI,TERESINA
12457668002861,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",SP,CUBATAO
07347517000109,"Comércio varejista de suvenires, bijuterias e artesanatos (Não dispensada *)",MS,CAMPO GRANDE
18960706000160,Comércio a varejo de peças e acessórios novos para veículos automotores,PE,ARCOVERDE
06041388000155,Comércio varejista de livros (Não dispensada *),CE,SOBRAL
84036540000115,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal",RR,BOA VISTA
11003297000246,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,MT,CUIABA
13260868000172,Comércio a varejo de peças e acessórios novos para veículos automotores,RJ,SAO PEDRO DA ALDEIA
04267668000150,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças",PR,COLOMBO
01019132000128,Comércio varejista de bicicletas e triciclos; peças e acessórios,GO,ANAPOLIS
08892208000174,Comércio a varejo de peças e acessórios novos para veículos automotores (Não dispensada *),RJ,RIO DE JANEIRO
